Reward,Throughput,Latancy,BLER,PRBs,Each_time,Totel_time
2.34928,234.928,2991.14935,0.086842,1.178,0.123862743,0.123863459
1.971976,197.1976,3037.90972,0.1693,0.946,0.243227959,0.243228674
2.679296,267.9296,3015.11375,0.39856,1.332,0.360730171,0.360730886
2.307808,230.7808,3020.00366,0.587038,1.114,0.120000124,0.480733395
2.253872,225.3872,3019.3868,0.570188,1.1,0.240041256,0.600774527
2.614952,261.4952,2691.4531,0.540442,1.251,0.360075474,0.720808744
2.701032,270.1032,2512.22352,0.68827,1.357,0.120197773,0.841008186
2.258648,225.8648,2428.17683,0.644512,1.12,0.240204811,0.961015224
2.825192,282.5192,2134.24363,0.62852,1.42,0.360264778,1.081075191
2.19116,219.116,2023.53961,0.57982,1.383,0.119976997,1.201054335
2.294728,229.4728,1931.71685,0.528618,1.358,0.239971638,1.321048975
1.392096,139.2096,2058.35787,0.441748,1.15,0.360715389,1.441792727
2.899888,289.9888,1920.09627,0.38699,1.502,0.126059055,1.567854404
0.76504,76.504,2025.40293,0.34829,0.629,0.243704557,1.685499907
2.110424,211.0424,2111.76639,0.313462,1.327,0.36196804,1.80376339
2.60856,260.856,2084.02906,0.286116,1.239,0.118095636,1.921861172
1.089016,108.9016,2139.81033,0.40861,0.641,0.238296747,2.042062283
1.2708,127.08,2303.06385,0.441492,0.894,0.357964039,2.161729574
1.305128,130.5128,2457.35331,0.42538,0.979,0.120090485,2.281821489
2.290536,229.0536,2487.15601,0.41105,1.195,0.240152836,2.401883841
1.895584,189.5584,2524.99946,0.409872,0.991,0.379094839,2.540825844
1.527712,152.7712,2612.73465,0.396218,1.191,0.121551037,2.662379742
2.338336,233.8336,2631.85484,0.363264,1.265,0.241451979,2.782280684
2.18724,218.724,2643.10682,0.328588,1.193,0.361379385,2.90220809
1.604096,160.4096,2572.77242,0.297358,1.228,0.120167971,3.022377729
1.98248,198.248,2574.44073,0.256068,1.2,0.240129232,3.142338991
2.56308,256.308,2566.29533,0.337738,1.282,0.36035943,3.262569189
1.452936,145.2936,2660.89703,0.317218,1.109,0.120063066,3.382634401
1.995992,199.5992,2718.72767,0.285496,1.225,0.240083933,3.502655268
1.652048,165.2048,2733.46678,0.256946,0.878,0.360171318,3.622742653
1.824704,182.4704,2803.22468,0.222562,1.186,0.12021327,3.742958307
1.665104,166.5104,2894.18171,0.188652,1.049,0.240486145,3.863231182
1.439192,143.9192,3008.86497,0.169786,1.146,0.360957384,3.983702421
0.868904,86.8904,3221.18481,0.154462,0.574,0.120372057,4.104076624
2.623032,262.3032,3238.20239,0.151824,1.292,0.241192341,4.224896908
1.852864,185.2864,3304.56125,0.223202,1.3,0.373816967,4.357521534
2.118816,211.8816,3238.44086,0.190478,1.255,0.12580514,4.483328819
2.38244,238.244,2859.74964,0.17143,1.377,0.248389959,4.605913639
1.573192,157.3192,2706.1507,0.154286,0.859,0.369527578,4.727051258
2.33,233,2337.77475,0.133288,1.298,0.130428553,4.85748148
2.531192,253.1192,2214.06345,0.131122,1.191,0.256800413,4.98385334
1.541904,154.1904,2247.49489,0.22472,0.769,0.37840271,5.105455637
1.910224,191.0224,2298.59545,0.230054,0.917,0.121546268,5.227003813
2.565544,256.5544,736.49677,0.329742,1.271,0.252257586,5.35771513
2.209688,220.9688,2222.1999,0.31029,1.214,0.379804373,5.485261917
2.25176,225.176,2072.37205,0.280926,1.212,0.132462025,5.617725611
2.107584,210.7584,2078.05236,0.239974,1.13,0.259047985,5.744311571
2.202912,220.2912,2068.23064,0.215834,1.19,0.381443739,5.866707325
2.698824,269.8824,842.60521,0.22547,1.272,0.131082296,5.997792244
2.767048,276.7048,1992.70915,0.251258,1.383,0.25831461,6.125024557
2.610312,261.0312,1951.57982,0.245254,1.332,0.391199589,6.257909536
2.070032,207.0032,1606.93481,0.24439,1.084,0.139544487,6.558196306
1.220688,122.0688,1741.78779,0.2238,0.642,0.266373634,6.685025454
2.292136,229.2136,1750.58389,0.20806,1.212,0.399562836,6.818214655
2.247792,224.7792,1761.16783,0.177358,1.17,0.126993656,6.945210695
2.626248,262.6248,1739.56169,0.153038,1.328,0.260126591,7.07834363
1.284704,128.4704,1727.1744,0.148844,0.637,0.387605667,7.205822706
1.436248,143.6248,1872.67785,0.181356,0.742,0.132478714,7.338304281
2.4478,244.78,1865.88335,0.159842,1.184,0.261221647,7.467047215
2.231688,223.1688,1815.18299,0.212152,1.062,0.392572403,7.59839797
1.215336,121.5336,1858.46103,0.40543,0.631,0.127157927,7.725557804
1.636976,163.6976,1981.6273,0.432848,0.824,0.260223627,7.858623505
1.704088,170.4088,2072.35813,0.395034,0.901,0.387711287,7.986111164
2.326864,232.6864,2115.17094,0.355528,1.192,0.132671118,8.118784189
2.424872,242.4872,2105.64907,0.295794,1.262,0.260059357,8.246172428
2.42572,242.572,2089.4525,0.263304,1.288,0.392547846,8.378660917
1.58088,158.088,2117.21567,0.236972,0.833,0.127514362,8.506177425
2.307816,230.7816,2116.548,0.211296,1.272,0.260170937,8.638834
2.135368,213.5368,2031.23297,0.185032,1.251,0.387631655,8.766294718
1.552528,155.2528,1975.721,0.166528,0.887,0.132454395,8.898751259
2.078064,207.8064,1776.54187,0.149876,1.222,0.260386705,9.026683569
2.68868,268.868,1762.91233,0.125522,1.354,0.392568827,9.15886569
